City Population Area(km^2)
AKI 17283 317.21
KUMANO 17038 373.35
OBANAZAWA 16551 372.53
IRIOMOTE 15657 205.66
TARUMI 15151 162.12
SUZU 14310 247.20
ASHIBETSU 14240 865.04
TOSASHIMIZU 13370 266.34
MUROTO 13204 248.18
AKABIRA 10831 129.88
MIKASA 8832 302.52
YUBARI 8490 763.07
UTASHINAI 3426 55.95
